[2024-02-06 14:50:27,094][conftest.py 12][DEBUG]: ---------------开始执行测试：testcases.test01_single_login--------------
[2024-02-06 14:50:28,407][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:50:28,407][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:50:29,675][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:50:29,676][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:50:30,930][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:50:30,930][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:50:30,933][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 14:55:46,097][conftest.py 12][DEBUG]: ---------------开始执行测试：testcases.test01_single_login--------------
[2024-02-06 14:55:47,404][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:55:47,404][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:55:48,656][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:55:48,656][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:55:49,934][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:55:49,934][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:55:49,937][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 14:57:31,295][conftest.py 12][DEBUG]: ---------------开始执行测试：test_user_login--------------
[2024-02-06 14:57:32,607][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:57:32,607][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:57:32,609][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 14:57:32,612][conftest.py 12][DEBUG]: ---------------开始执行测试：test_user_login--------------
[2024-02-06 14:57:33,878][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
